,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
780,Bruce Springsteen,Jungleland,0.299,0.584,5,-5.984,1,0.0334,0.374,0.126,0.073,0.183,133.712,audio_features,3R2q3FCnNIw2XhuEbYtYk6,spotify:track:3R2q3FCnNIw2XhuEbYtYk6,https://api.spotify.com/v1/tracks/3R2q3FCnNIw2XhuEbYtYk6,https://api.spotify.com/v1/audio-analysis/3R2q3FCnNIw2XhuEbYtYk6,575653,4
781,Mumford & Sons,I Will Wait,0.478,0.758,1,-5.4,1,0.0331,0.00974,0.00717,0.312,0.452,131.109,audio_features,1fXiYSWmkKJfRKMegCkI11,spotify:track:1fXiYSWmkKJfRKMegCkI11,https://api.spotify.com/v1/tracks/1fXiYSWmkKJfRKMegCkI11,https://api.spotify.com/v1/audio-analysis/1fXiYSWmkKJfRKMegCkI11,276720,4
782,Marillion,Lavender,0.37,0.446,9,-8.751,1,0.0273,0.289,0.0128,0.358,0.212,133.874,audio_features,11iQxINnQI33C5UYOc6i0y,spotify:track:11iQxINnQI33C5UYOc6i0y,https://api.spotify.com/v1/tracks/11iQxINnQI33C5UYOc6i0y,https://api.spotify.com/v1/audio-analysis/11iQxINnQI33C5UYOc6i0y,146813,4
783,Green Day,American Idiot,0.38,0.988,1,-2.042,1,0.0639,2.64e-05,7.86e-05,0.368,0.769,186.113,audio_features,6nTiIhLmQ3FWhvrGafw2zj,spotify:track:6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/tracks/6nTiIhLmQ3FWhvrGafw2zj,https://api.spotify.com/v1/audio-analysis/6nTiIhLmQ3FWhvrGafw2zj,176346,4
784,David Guetta & Sia,Titanium,0.604,0.788,0,-3.673,0,0.103,0.0678,0.153,0.127,0.301,126.06,audio_features,0lHAMNU8RGiIObScrsRgmP,spotify:track:0lHAMNU8RGiIObScrsRgmP,https://api.spotify.com/v1/tracks/0lHAMNU8RGiIObScrsRgmP,https://api.spotify.com/v1/audio-analysis/0lHAMNU8RGiIObScrsRgmP,245040,4
785,Prince,1999,0.864,0.826,10,-5.496,1,0.0814,0.23,2.36e-06,0.0663,0.596,118.955,audio_features,2QSUyofqpGDCo026OPiTBQ,spotify:track:2QSUyofqpGDCo026OPiTBQ,https://api.spotify.com/v1/tracks/2QSUyofqpGDCo026OPiTBQ,https://api.spotify.com/v1/audio-analysis/2QSUyofqpGDCo026OPiTBQ,373747,4
786,Armin van Buuren ft. Trevor Guthrie,This Is What It Feels Like,0.505,0.555,8,-10.51,1,0.0291,0.655,0.969,0.104,0.0558,129.914,audio_features,7JJOtvmwkRgxosKCZte9qX,spotify:track:7JJOtvmwkRgxosKCZte9qX,https://api.spotify.com/v1/tracks/7JJOtvmwkRgxosKCZte9qX,https://api.spotify.com/v1/audio-analysis/7JJOtvmwkRgxosKCZte9qX,212793,4
787,The Weeknd,Save Your Tears,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,audio_features,5QO79kh1waicV47BqGRL3g,spotify:track:5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/tracks/5QO79kh1waicV47BqGRL3g,https://api.spotify.com/v1/audio-analysis/5QO79kh1waicV47BqGRL3g,215627,4
788,Henk Westbroek,Zelfs Je Naam Is Mooi,0.564,0.46,2,-7.328,1,0.0244,0.384,0.00032,0.205,0.447,94.007,audio_features,5RWOzvrzPQnt5Ybqxgddrc,spotify:track:5RWOzvrzPQnt5Ybqxgddrc,https://api.spotify.com/v1/tracks/5RWOzvrzPQnt5Ybqxgddrc,https://api.spotify.com/v1/audio-analysis/5RWOzvrzPQnt5Ybqxgddrc,269707,4
789,Eagles,New Kid In Town,0.649,0.425,4,-9.811,1,0.0267,0.378,0.0013,0.108,0.651,107.383,audio_features,6Zyz8lsnMFpIrCTuvGurCB,spotify:track:6Zyz8lsnMFpIrCTuvGurCB,https://api.spotify.com/v1/tracks/6Zyz8lsnMFpIrCTuvGurCB,https://api.spotify.com/v1/audio-analysis/6Zyz8lsnMFpIrCTuvGurCB,304926,4
